Trimestre;arrondissement;prix_m2
T3 2007;6;9160
T2 2007;6;8350
T1 2007;6;8820
T4 2006;6;8440
T3 2006;6;8200
T2 2006;6;7880
T1 2006;6;7780
T4 2005;6;7310
T3 2005;6;7560
T2 2005;6;7340
T1 2005;6;6830
T4 2004;6;6660
T3 2004;6;6750
T2 2004;6;6580
T1 2004;6;6460
T4 2003;6;6110
T3 2003;6;6070
T2 2003;6;6000
T1 2003;6;6150
T4 2002;6;5860
T3 2002;6;5580
T2 2002;6;5430
T1 2002;6;5210
T4 2001;6;5400
T3 2001;6;5220
T2 2001;6;5110
T1 2001;6;5180
T4 2000;6;5050
T3 2000;6;4870
T2 2000;6;4610
T1 2000;6;4440
T4 1999;6;4490
T3 1999;6;4350
T2 1999;6;3840
T1 1999;6;4260
T4 1998;6;3680
T3 1998;6;3770
T2 1998;6;3650
T1 1998;6;3600
T4 1997;6;3570
T3 1997;6;3270
T2 1997;6;3760
T1 1997;6;3490
T4 1996;6;3370
T3 1996;6;3480
T2 1996;6;3430
T1 1996;6;3610
T4 1995;6;3860
T4 2025;7;12940
T3 2025;7;13180
T2 2025;7;12830
T1 2025;7;12550
T4 2024;7;12420
T3 2024;7;13480
T2 2024;7;13200
T1 2024;7;13250
T4 2023;7;13190
T3 2023;7;13550
T2 2023;7;13620
T1 2023;7;13740
T4 2022;7;13800
T3 2022;7;14160
T2 2022;7;14080
T1 2022;7;13330
T4 2021;7;13290
T3 2021;7;13850
T2 2021;7;13340
T1 2021;7;13050
T4 2020;7;13010
T3 2020;7;13500
T2 2020;7;13490
T1 2020;7;12920
T4 2019;7;12980
T3 2019;7;12930
T2 2019;7;12540
T1 2019;7;12540
T4 2018;7;12280
T3 2018;7;12350
T2 2018;7;12310
T1 2018;7;11810
T4 2017;7;11530
T3 2017;7;11980
T2 2017;7;11690
T1 2017;7;10720
T4 2016;7;11130
T3 2016;7;11060
T2 2016;7;11230
T1 2016;7;11070
T4 2015;7;10860
T3 2015;7;10810
T2 2015;7;10960
T1 2015;7;10350
T4 2014;7;11010
T3 2014;7;11060
T2 2014;7;11070
T1 2014;7;11060
T4 2013;7;11430
T3 2013;7;11100
T2 2013;7;11240
T1 2013;7;10980
T4 2012;7;11360
T3 2012;7;11480
T2 2012;7;11920
T1 2012;7;11980
T4 2011;7;11810
T3 2011;7;11900
T2 2011;7;11630
T1 2011;7;11370
T4 2010;7;10410
T3 2010;7;9630
T2 2010;7;9440
T1 2010;7;9170
T4 2009;7;8790
T3 2009;7;8860
T2 2009;7;8660
T1 2009;7;9210
T4 2008;7;9370
T3 2008;7;9460
T2 2008;7;9340
T1 2008;7;9280
T4 2007;7;9000
T3 2007;7;8710
T2 2007;7;8720
T1 2007;7;8190
T4 2006;7;7890
T3 2006;7;7640
T2 2006;7;7660
T1 2006;7;7390
T4 2005;7;7160
T3 2005;7;7110
T2 2005;7;6860
T1 2005;7;6450
T4 2004;7;6330
T3 2004;7;6270
T2 2004;7;6370
T1 2004;7;6010
T4 2003;7;5770
T3 2003;7;5780
T2 2003;7;5430
