X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
651746.495800003,6866499.493,5953,89174,18,69,651751.1710748,6866510.54477839,91,,RUE,RUISSEAU,4,R,C,CH403,*** NON RENSEIGNE ***,0,1,0,,11104,111,5,1
646385.350000001,6861079.1051,5954,89284,16,61,646385.35,6861079.1051,61,,AV,THEOPHILE GAUTIER,1,A,C,SA513,J. COURS,0,1,0,,10804,108,4,1
651094.912900001,6865571.9611,5955,89335,18,69,651093.45404292,6865568.23662205,18,,RUE,DAMREMONT,2,R,C,CD201,C'EST EXTRA,0,1,0,,10502,105,3,1
651539.220799997,6865738.2218,5956,89388,18,69,651535.30207851,6865739.02406046,51,B,RUE,LAMARCK,2,R,C,CD201,HARICOT VERT,0,1,0,,10502,105,3,1
648237.2993,6863651.2604,5958,89468,16,64,648237.2993,6863651.2604,37,,RUE,JEAN GIRAUDOUX,1,R,C,CD103,ANDREU WORLD PARIS,0,1,0,,10501,105,3,1
653828.818400003,6863921.2316,5962,90053,10,40,653828.8184,6863921.2316,218,,RUE,SAINT MAUR,1,R,C,CH108,HAKIKI BURSA ISKENDER KEBABI,0,1,0,,11101,111,5,1
651960.971500002,6866060.3033,5964,90180,18,70,651960.9715,6866060.3033,2,,PL,JULES JOFFRIN,0,R,K,CE104,(KIOSQUE A JOURNAUX),0,1,0,,10601,106,3,1
651878.066299997,6863305.5512,5965,90352,2,7,651878.0663,6863305.5512,107,,RUE,REAUMUR,1,R,C,CD403,OPULENCE,0,1,0,,10504,105,3,1
653229.097599998,6862581.1601,5967,90717,3,11,653229.0976,6862581.1601,25,,RUE,POITOU,1,R,C,CB107,MAISON STANDARDS,0,1,0,,10301,103,3,1
654581.716200002,6861254.2565,5972,91461,12,48,654581.7162,6861254.2565,41,,RUE,CITEAUX,1,R,C,CE203,JOUR DE VELO,0,1,0,,10602,106,3,1
648210.410800003,6864256.7643,5973,91582,17,65,648210.4108,6864256.7643,7,,RUE,GENERAL LANREZAC,1,A,C,CE203,REPAIR AND RUN,0,1,0,,10602,106,3,1
650239.409100004,6860048.4955,5976,91757,14,56,650239.4091,6860048.4955,80,,AV,MAINE,30,CC,C,CH101,KRUGEN,,1,69,0,11101,111,5,1
651946.399800003,6865231.9004,5977,91890,18,70,651950.23169103,6865230.75296324,2,,RUE,CAZOTTE,2,R,C,CD203,MES FOLIES DE SŒURS,0,1,0,,10502,105,3,1
649531.7632,6860510.7238,5979,92539,15,58,649531.7632,6860510.7238,20,,BD,PASTEUR,0,R,K,CE104,(KIOSQUE A JOURNAUX),0,1,0,,10601,106,3,1
650450.997299999,6863424.8041,5981,93635,8,31,650450.9973,6863424.8041,6,,PL,MADELEINE,2,CI,C,CB104,MARGARET HOWELL,0,1,0,,10301,103,3,1
650239.409100004,6860048.4955,5982,93749,14,56,650239.4091,6860048.4955,80,,AV,MAINE,35,CC,C,CH403,PETIT COMBAT,,1,69,0,11104,111,5,1
645331.244599998,6862251.63,5989,94737,16,61,645331.2446,6862251.63,49,,AV,SAINT CLOUD,1,R,C,CH302,CHALET DU BOIS,0,1,0,,11103,111,5,1
653171.207400002,6865197.136,5994,95038,18,72,653171.73642598,6865193.1711379,46,,RUE,PHILIPPE DE GIRARD,2,R,C,SB303,AFRICANO,0,1,0,,10903,109,4,1
654152.212300003,6864696.1881,5996,95213,19,76,654152.2123,6864696.1881,45,,AV,SECRETAN,1,CI,C,SA303,TOMASINA,0,1,0,,10803,108,4,1
654684.171400003,6864856.9933,5997,95221,19,76,654680.79745937,6864854.84469007,4,,RUE,MANIN,2,R,C,SA403,BILLETERIE,0,1,0,,10804,108,4,1
653403.4406,6858702.1884,5998,95508,13,50,653403.4406,6858702.1884,101,,RUE,TOLBIAC,23,CC,C,CH303,PLAT ROYAL,0,1,61,0,11103,111,5,1
652583.863399997,6862290.8525,6000,95635,4,13,652582.1080333,6862287.25824239,24,,RUE,TEMPLE,2,A,C,CC202,HUYGENS,0,1,0,,10402,104,3,1
651420.533200003,6864216.1747,6001,95742,9,34,651424.51717751,6864215.81703642,26,,RUE,CHATEAUDUN,2,R,C,CH106,ROLLS,0,1,0,,11101,111,5,1
647981.8094,6861278.8438,6004,96351,15,59,647983.80274568,6861282.31173497,22,,RUE,LOURMEL,2,R,C,CA114,LOURMEL EXOTIQUE,0,1,0,,10201,102,2,1
648435.0669,6863870.0776,6005,96751,8,29,648435.0669,6863870.0776,133,,AV,CHAMPS ELYSEES,7,CC,C,CA104,PIERRE HERME,0,1,601,0,10201,102,2,1
648286.654100001,6862593.8318,6007,96913,7,28,648286.6541,6862593.8318,8,,PRT,LA BOURDONNAIS,0,R,C,CH302,PAUSE GOURMANDE (KIOSQUE),0,1,0,,11103,111,5,1
648515.038400002,6863989.3966,6008,96923,8,30,648511.09233962,6863988.7419188,43,,AV,FRIEDLAND,2,R,C,SB201,BRED,0,1,0,,10902,109,4,1
647884.187299997,6861071.7959,6009,97167,15,59,647882.18186129,6861068.33494412,45,,RUE,LOURMEL,2,R,C,SA514,ISO,0,1,0,,10804,108,4,1
