code_iris,LIBIRIS,GRD_QUART,LIBCOM,population,school_count,schools_per_1000,school_score
751135009,Gare 9,7511350.0,Paris 13e Arrondissement,2091.27073898221,25.0,11.954454071387776,71.7292927697417
751156001,Javel 1,7511560.0,Paris 15e Arrondissement,2307.23800603517,0.0,0.0,0.0
751093602,Rochechouart 2,7510936.0,Paris 9e Arrondissement,2557.28008065253,18.0,7.038728427199502,42.23388279099269
751197312,Villette 12,7511973.0,Paris 19e Arrondissement,1539.09937297025,22.0,14.294073785205324,85.76751370564733
751197507,Amérique 7,7511975.0,Paris 19e Arrondissement,1985.24526767284,31.0,15.615199041042956,93.69454907636222
751072602,Invalides 2,7510726.0,Paris 7e Arrondissement,979.648716927376,2.0,2.041548123773295,12.249727356780221
751083204,Europe 4,7510832.0,Paris 8e Arrondissement,2209.88144994576,4.0,1.8100518469432727,10.860699960239463
751124505,Bel-Air 5,7511245.0,Paris 12e Arrondissement,2509.76134425718,13.0,5.179775371768521,31.079765073701115
751145513,Petit Montrouge 13,7511455.0,Paris 14e Arrondissement,2691.50845958351,23.0,8.54539391028296,51.27419938736669
751207706,Belleville 6,7512077.0,Paris 20e Arrondissement,1919.59572888581,29.0,15.107347637636417,90.64733154715195
751207913,Père Lachaise 13,7512079.0,Paris 20e Arrondissement,1830.70530369864,16.0,8.739800975981565,52.44068354872855
751030904,Arts et Métiers 4,7510309.0,Paris 3e Arrondissement,1408.549344673,9.0,6.389552509492938,38.33868781327387
751031001,Enfants Rouges 1,7510310.0,Paris 3e Arrondissement,2010.51273510389,11.0,5.471241145573541,32.82862233617187
751114315,Roquette 15,7511143.0,Paris 11e Arrondissement,1560.71720294656,16.0,10.251697085027805,61.51238502464727
751135102,Maison Blanche 2,7511351.0,Paris 13e Arrondissement,1919.4425850719,25.0,13.024614643038946,78.15048611710881
751135118,Maison Blanche 18,7511351.0,Paris 13e Arrondissement,1668.93088109305,23.0,13.78127773927724,82.69062725898156
751145504,Petit Montrouge 4,7511455.0,Paris 14e Arrondissement,2426.73584219215,13.0,5.356990148650326,32.14309180850397
751145610,Plaisance 10,7511456.0,Paris 14e Arrondissement,1915.67593196037,17.0,8.874152311661284,53.246820427370444
751166101,Auteuil 1,7511661.0,Paris 16e Arrondissement,2015.03425563353,4.0,1.98507791558233,11.910893975355236
751166109,Auteuil 9,7511661.0,Paris 16e Arrondissement,2422.13562641741,12.0,4.954305559573163,29.726897759717446
751166201,Muette 1,7511662.0,Paris 16e Arrondissement,1311.68671431222,7.0,5.33664016233513,32.020987518542576
751176602,Plaine Monceau 2,7511766.0,Paris 17e Arrondissement,2607.20003224859,15.0,5.753298486676985,34.52102698108889
751208021,Charonne 21,7512080.0,Paris 20e Arrondissement,3274.26064203382,10.0,3.0541246080484474,18.325403808301903
751083104,,,,,2.0,,
751124708,,,,,6.0,,
